row_index,camera,bounce_frame,clip_name,clip_path,status,decode_s,crop_s,write_s,total_s,updated_at
12,sink,1822,bounce_1822_00012.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1822_00012.mp4,ok,0.395865,0.000049,0.015303,0.411228,2026-04-17 12:37:54
13,sink,1877,bounce_1877_00013.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1877_00013.mp4,ok,0.156746,0.000052,0.012577,0.169387,2026-04-17 12:37:54
14,sink,1912,bounce_1912_00014.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_1912_00014.mp4,ok,0.118515,0.000052,0.015804,0.134384,2026-04-17 12:37:54
15,sink,2153,bounce_2153_00015.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2153_00015.mp4,ok,0.873694,0.000049,0.018562,0.892316,2026-04-17 12:37:55
16,sink,2302,bounce_2302_00016.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2302_00016.mp4,ok,0.629551,0.000055,0.024340,0.653957,2026-04-17 12:37:56
17,sink,2419,bounce_2419_00017.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2419_00017.mp4,ok,0.393205,0.000051,0.021779,0.415047,2026-04-17 12:37:56
18,source,2726,bounce_2726_00018.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_2726_00018.mp4,ok,0.546593,0.000070,0.014666,0.561343,2026-04-17 12:37:59
19,source,3018,bounce_3018_00019.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3018_00019.mp4,ok,0.303616,0.000047,0.015822,0.319497,2026-04-17 12:37:59
20,source,3073,bounce_3073_00020.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3073_00020.mp4,ok,0.350533,0.000048,0.024012,0.374605,2026-04-17 12:38:00
18,sink,2726,bounce_2726_00018.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_2726_00018.mp4,ok,0.421075,0.000043,0.009293,0.430421,2026-04-17 12:38:00
19,sink,3018,bounce_3018_00019.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3018_00019.mp4,ok,0.164122,0.000052,0.011572,0.175756,2026-04-17 12:38:00
20,sink,3073,bounce_3073_00020.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3073_00020.mp4,ok,0.123371,0.000043,0.014534,0.137958,2026-04-17 12:38:01
21,source,3416,bounce_3416_00021.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3416_00021.mp4,ok,0.877279,0.000070,0.013707,0.891066,2026-04-17 12:38:10
21,sink,3416,bounce_3416_00021.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3416_00021.mp4,ok,0.768379,0.000067,0.012347,0.780803,2026-04-17 12:38:10
22,source,3463,bounce_3463_00022.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3463_00022.mp4,ok,0.670700,0.000054,0.010129,0.680895,2026-04-17 12:38:13
22,sink,3463,bounce_3463_00022.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3463_00022.mp4,ok,0.613489,0.000054,0.011229,0.624783,2026-04-17 12:38:14
23,source,3693,bounce_3693_00023.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3693_00023.mp4,ok,1.147598,0.000055,0.030949,1.178615,2026-04-17 12:38:19
23,sink,3693,bounce_3693_00023.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3693_00023.mp4,ok,0.812528,0.000053,0.023738,0.836329,2026-04-17 12:38:20
24,source,3949,bounce_3949_00024.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3949_00024.mp4,ok,0.906811,0.000056,0.010285,0.917162,2026-04-17 12:38:29
25,source,3992,bounce_3992_00025.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_3992_00025.mp4,ok,0.139871,0.000050,0.015869,0.155800,2026-04-17 12:38:29
24,sink,3949,bounce_3949_00024.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3949_00024.mp4,ok,0.703878,0.000053,0.009849,0.713793,2026-04-17 12:38:30
25,sink,3992,bounce_3992_00025.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_3992_00025.mp4,ok,0.111502,0.000050,0.013084,0.124647,2026-04-17 12:38:30
26,source,30131,bounce_30131_00026.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30131_00026.mp4,ok,0.278667,0.000068,0.026407,0.305163,2026-04-17 12:53:09
26,sink,30131,bounce_30131_00026.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30131_00026.mp4,ok,0.280785,0.000054,0.012673,0.293523,2026-04-17 12:53:09
27,source,30181,bounce_30181_00027.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30181_00027.mp4,ok,0.984373,0.000048,0.012765,0.997196,2026-04-17 12:53:14
28,source,30184,bounce_30184_00028.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30184_00028.mp4,ok,0.930783,0.000051,0.015764,0.946610,2026-04-17 12:53:15
29,source,30194,bounce_30194_00029.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30194_00029.mp4,ok,0.077449,0.000050,0.016806,0.094316,2026-04-17 12:53:15
30,source,30204,bounce_30204_00030.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30204_00030.mp4,ok,0.303591,0.000050,0.017462,0.321114,2026-04-17 12:53:16
31,source,30216,bounce_30216_00031.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30216_00031.mp4,ok,0.050683,0.000051,0.015773,0.066518,2026-04-17 12:53:16
32,source,30223,bounce_30223_00032.mp4,/mnt/data/cv_output/bounce_clips/source/bounce_30223_00032.mp4,ok,0.672067,0.000051,0.014295,0.686424,2026-04-17 12:53:16
27,sink,30181,bounce_30181_00027.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30181_00027.mp4,ok,0.907304,0.000051,0.019241,0.926607,2026-04-17 12:53:17
28,sink,30184,bounce_30184_00028.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30184_00028.mp4,ok,0.083080,0.000050,0.015371,0.098513,2026-04-17 12:53:17
29,sink,30194,bounce_30194_00029.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30194_00029.mp4,ok,0.175122,0.000048,0.019951,0.195132,2026-04-17 12:53:18
30,sink,30204,bounce_30204_00030.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30204_00030.mp4,ok,0.476481,0.000052,0.021112,0.497658,2026-04-17 12:53:18
31,sink,30216,bounce_30216_00031.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30216_00031.mp4,ok,0.063576,0.000054,0.020847,0.084490,2026-04-17 12:53:18
32,sink,30223,bounce_30223_00032.mp4,/mnt/data/cv_output/bounce_clips/sink/bounce_30223_00032.mp4,ok,1.085652,0.000054,0.018591,1.104308,2026-04-17 12:53:19
